Order_ID,Order_Date,Customer_Name,Email,Phone,City,State,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date
ORD1002,30-06-2025,Neha,neha82@gmail.com,9829008196,Delhi,Delhi,Chair,Furniture,4,1999 ,N/A,UPI,Pending,03-07-2025
ORD1003,03-02-2025,Rohit,rohit45@gmail.com,9280491167,Pune,Maharashtra,Watch,Fashion,5 ,4999,20,Card,Pending,09-02-2025
ORD1004,06-05-2025,Amit,amit6@gmail.com,9943310925,Jaipur,Rajasthan,Mouse,Electronics,3,1999 ,5,COD,Returned,08-05-2025
ORD1005,20-01-2025,Vikas,vikas51@gmail.com,9495120474,Bengaluru,Karnataka,Laptop,Electronics,N/A,NULL,15,Wallet,Pending,27-01-2025
ORD1006,02-04-2025,Rohit,rohit71@gmail.com,9237331620,Pune,Maharashtra,Bottle,Home,N/A,1999 , ,Wallet,Cancelled,07-04-2025
ORD1007,10-02-2025,Rahul,rahul82@gmail.com,9517780193,Mumbai,Maharashtra,Mouse,Electronics,3,499,20,Wallet,Cancelled,18-02-2025
ORD1008,17-02-2025,Rahul,rahul71@gmail.com,9789375429,Lucknow,UP,Mouse,Electronics,4,9999,N/A,Card,Returned,27-02-2025
ORD1009,2025/03/21,Rahul,rahul99@gmail.com,9552649559,Mumbai,Maharashtra,Bottle,Home,2,1499, ,Wallet,Pending,28-03-2025
ORD1010,10-04-2025,Rohit,rohit96@gmail.com,9700116928,Jaipur,Rajasthan,Mouse,Electronics,1,NULL, ,NetBanking,Delivered,16-04-2025
ORD1011,11-01-2025,Neha,neha22@gmail.com,9580304152,Jaipur,Rajasthan,Chair,Furniture,3,999, ,COD,Pending,16-01-2025
ORD1012,03-03-2025,Vikas,vikas46@gmail.com,9551158398,Jaipur,Rajasthan,Shoes,Fashion,3,999,5,COD,Cancelled,09-03-2025
ORD1013,30-04-2025,Rohit,rohit96@gmail.com,9899011969,Mumbai,Maharashtra,Shoes,Fashion,-1,4999,10,COD,Cancelled,04-05-2025
ORD1014,25-02-2025,Neha,neha76@gmail.com,9768913402,Jaipur,Rajasthan,Shoes,Fashion,-1,NULL,0,NetBanking,Returned,28-02-2025
ORD1015,17-03-2025,Rohit,rohit6@gmail.com,9643353842,Lucknow,UP,Bottle,Home,5 ,NULL,5,Card,Returned,19-03-2025
ORD1016,31-03-2025,Sneha,sneha86@gmail.com,9125254427,Pune,Maharashtra,Laptop,Electronics,3,4999,20,NetBanking,Pending,09-04-2025
ORD1017,12-01-2025,Vikas,vikas12@gmail.com,9498228945,Jaipur,Rajasthan,Watch,Fashion,1,4999,10,NetBanking,Pending,22-01-2025
ORD1018,2025/06/23,Amit,amit96@gmail.com,9124086971,Mumbai ,Maharashtra,Shoes,Fashion,2,4999,5,Wallet,Delivered,30-06-2025
ORD1019,06-03-2025,Vikas,vikas20@gmail.com,9524467082,Bengaluru,Karnataka,Chair,Furniture,3,1499,0,COD,Returned,16-03-2025
ORD1020,15-03-2025,Rahul,rahul90@gmail.com,9106119129,Pune,Maharashtra,Watch,Fashion,3,999,N/A,UPI,Returned,17-03-2025
ORD1021,27-01-2025,Priya,priya82@gmail.com,9583849937,Pune,Maharashtra,Chair,Furniture,3,NULL,5,UPI,Cancelled,02-02-2025
ORD1022,13-06-2025,Vikas,vikas18@gmail.com,N/A,Pune,Maharashtra,Shoes,Fashion,-1,1499,N/A,NetBanking,Cancelled,22-06-2025
ORD1023,27-04-2025,Neha,neha70@gmail.com,9133995118,Mumbai,Maharashtra,Shoes,Fashion,1,499,5,COD,Pending,01-05-2025
ORD1024,29-06-2025,Rohit,rohit60@gmail.com,9633404088,Bengaluru,Karnataka,Mouse,Electronics,3,NULL,15,Card,Cancelled,08-07-2025
ORD1025,12-01-2025,Rahul,rahul54@gmail.com,9850537744,Delhi,Delhi,Bottle,Home,N/A,9999,10,COD,Pending,
ORD1026,05-04-2025,Sneha,sneha71@gmail.com,9967773139,Bengaluru,Karnataka,Bottle,Home,4,9999,10,Wallet,Returned,08-04-2025
