Order_ID,Order_Date,Customer_Name,Email,Phone,City,State,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date,Sales,Discount_Amount,Net_Sales,Revenue_After_Discount,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Order_Quarter,Delivery_Days,Delivery_Performance
ORD1002,2025-06-30,Neha,neha82@gmail.com,9829008196.0,Delhi,Delhi,Chair,Furniture,4.0,1999.0,0.0,UPI,Pending,2025-07-03,7996.0,0.0,7996.0,7996.0,2025,6,June,30,Monday,2,3,Fast
ORD1003,2025-02-03,Rohit,rohit45@gmail.com,9280491167.0,Pune,Maharashtra,Watch,Fashion,5.0,4999.0,20.0,Card,Pending,2025-02-09,24995.0,4999.0,19996.0,19996.0,2025,2,February,3,Monday,1,6,Normal
ORD1004,2025-05-06,Amit,amit6@gmail.com,9943310925.0,Jaipur,Rajasthan,Mouse,Electronics,3.0,1999.0,5.0,COD,Returned,2025-05-08,5997.0,299.85,5697.15,5697.15,2025,5,May,6,Tuesday,2,2,Fast
ORD1005,2025-01-20,Vikas,vikas51@gmail.com,9495120474.0,Bengaluru,Karnataka,Laptop,Electronics,3.0,1999.0,15.0,Wallet,Pending,2025-01-27,5997.0,899.55,5097.45,5097.45,2025,1,January,20,Monday,1,7,Normal
ORD1006,2025-04-02,Rohit,rohit71@gmail.com,9237331620.0,Pune,Maharashtra,Bottle,Home,3.0,1999.0,0.0,Wallet,Cancelled,2025-04-07,5997.0,0.0,5997.0,5997.0,2025,4,April,2,Wednesday,2,5,Normal
ORD1007,2025-02-10,Rahul,rahul82@gmail.com,9517780193.0,Mumbai,Maharashtra,Mouse,Electronics,3.0,499.0,20.0,Wallet,Cancelled,2025-02-18,1497.0,299.4,1197.6,1197.6,2025,2,February,10,Monday,1,8,Delayed
ORD1008,2025-02-17,Rahul,rahul71@gmail.com,9789375429.0,Lucknow,Up,Mouse,Electronics,4.0,9999.0,0.0,Card,Returned,2025-02-27,39996.0,0.0,39996.0,39996.0,2025,2,February,17,Monday,1,10,Delayed
ORD1009,2025-03-21,Rahul,rahul99@gmail.com,9552649559.0,Mumbai,Maharashtra,Bottle,Home,2.0,1499.0,0.0,Wallet,Pending,2025-03-28,2998.0,0.0,2998.0,2998.0,2025,3,March,21,Friday,1,7,Normal
ORD1010,2025-04-10,Rohit,rohit96@gmail.com,9700116928.0,Jaipur,Rajasthan,Mouse,Electronics,1.0,1999.0,0.0,NetBanking,Delivered,2025-04-16,1999.0,0.0,1999.0,1999.0,2025,4,April,10,Thursday,2,6,Normal
ORD1011,2025-01-11,Neha,neha22@gmail.com,9580304152.0,Jaipur,Rajasthan,Chair,Furniture,3.0,999.0,0.0,COD,Pending,2025-01-16,2997.0,0.0,2997.0,2997.0,2025,1,January,11,Saturday,1,5,Normal
